Date,Product,Region,Units_Sold,Price,Revenue,Marketing_Spend,Inventory_Level,Season
2025-01-01,Paracetamol,South,99,29,2871,1921,2746,Spring
2025-01-01,Insulin,South,214,37,7918,593,1230,Winter
2025-01-01,Vitamin C,West,291,23,6693,2009,2025,Monsoon
2025-01-01,Antibiotic,South,229,16,3664,1619,3830,Winter
2025-01-01,Pain Relief,East,113,47,5311,3521,3189,Winter
2025-01-01,Cough Syrup,East,119,21,2499,304,3088,Spring
2025-01-02,Paracetamol,West,56,14,784,301,2948,Monsoon
2025-01-02,Insulin,South,279,44,12276,3557,2087,Summer
2025-01-02,Vitamin C,West,135,34,4590,1938,1056,Monsoon
2025-01-02,Antibiotic,West,151,40,6040,1986,3928,Winter
2025-01-02,Pain Relief,East,231,11,2541,3044,2908,Spring
2025-01-02,Cough Syrup,East,299,50,14950,2879,1406,Summer
2025-01-03,Paracetamol,South,179,43,7697,4454,2158,Winter
2025-01-03,Insulin,South,265,29,7685,1498,3043,Winter
2025-01-03,Vitamin C,West,187,41,7667,1718,4571,Summer
2025-01-03,Antibiotic,West,277,7,1939,779,1774,Spring
2025-01-03,Pain Relief,West,158,16,2528,1491,923,Spring
2025-01-03,Cough Syrup,East,144,36,5184,1107,3257,Monsoon
2025-01-04,Paracetamol,North,159,40,6360,3188,1811,Monsoon
2025-01-04,Insulin,North,275,5,1375,2009,3367,Summer
2025-01-04,Vitamin C,East,239,42,10038,4885,3639,Monsoon
2025-01-04,Antibiotic,East,293,23,6739,1620,3045,Spring
2025-01-04,Pain Relief,North,237,20,4740,1768,3574,Summer
2025-01-04,Cough Syrup,South,69,8,552,2997,4326,Summer
2025-01-05,Paracetamol,North,75,45,3375,3659,2874,Monsoon
2025-01-05,Insulin,North,127,24,3048,3575,3561,Spring
2025-01-05,Vitamin C,North,100,27,2700,1316,3471,Winter
2025-01-05,Antibiotic,North,108,43,4644,2669,3638,Winter
2025-01-05,Pain Relief,North,163,40,6520,2230,3124,Spring
2025-01-05,Cough Syrup,East,175,49,8575,4510,4694,Monsoon
2025-01-06,Paracetamol,North,179,37,6623,1279,2425,Monsoon
2025-01-06,Insulin,West,125,36,4500,2813,3952,Winter
2025-01-06,Vitamin C,North,166,24,3984,4428,3657,Winter
2025-01-06,Antibiotic,North,78,14,1092,1957,2581,Winter
2025-01-06,Pain Relief,West,199,17,3383,4219,2971,Monsoon
2025-01-06,Cough Syrup,West,228,36,8208,1281,1286,Summer
2025-01-07,Paracetamol,North,210,40,8400,2129,3047,Spring
2025-01-07,Insulin,North,260,24,6240,4695,3406,Spring
2025-01-07,Vitamin C,South,141,43,6063,1857,2065,Spring
2025-01-07,Antibiotic,North,58,21,1218,3637,1605,Summer
2025-01-07,Pain Relief,West,184,18,3312,4508,2065,Summer
2025-01-07,Cough Syrup,East,166,11,1826,4903,572,Monsoon
2025-01-08,Paracetamol,East,222,18,3996,3935,2945,Monsoon
2025-01-08,Insulin,South,295,10,2950,2317,2386,Spring
2025-01-08,Vitamin C,East,223,19,4237,1331,3663,Winter
2025-01-08,Antibiotic,North,58,37,2146,799,2958,Winter
2025-01-08,Pain Relief,South,93,13,1209,4000,1613,Winter
2025-01-08,Cough Syrup,South,144,50,7200,4596,737,Monsoon
2025-01-09,Paracetamol,East,102,25,2550,1304,4327,Winter
2025-01-09,Insulin,South,196,33,6468,2933,934,Spring
